,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,33,,,,,,33,,,,,,33,,,,,,33,,,,,,33,,,,,,33,,,,,,33,,,,,,33,,,,,33,33,,,,,33,33,,,,,33,33,,,,,33,33,,,,,33,33,,,,,33,33,,,,,33,33,,,,,33,33,,,
,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,21,,,,2,,,
,,,60,,,,,61,,21,,,62,,,,,62,,21,,,61,,,,,60,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,2,,,
,,,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,2,,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,2,2,2,2,,21,,,2,2,2,2,2,,,,2,2,2,2,2,,21,,,2,2,2,2,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,60,2,,,
,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2,,,,2,,60,,2,,,,2,,,,,2,,,,2,,61,,2,,,,2,,,,,2,,,,2,,60,,2,,,,,,,,,,,,,,,,,60,2,,,
