2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,61,,,,,,61,,,,,,2
2,21,,,,,,,,21,,,,,,,,21,,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,2,,,,,,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,,2,,,2,21,,2,,,2,21,,2,,,2,21,,2
2,60,,,,60,,,,60,,,,60,,,,60,,,,,,,,,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,61,2
2,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,62,2
2,21,,,60,60,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,62,2
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,61,2
2,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,60,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,21,,,,,,,2
2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,2
2,60,21,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,62,61,,2
2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,21,,,,61,,,2
2,60,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,20,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,3,,,99,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
