,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,61,62,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1
,21,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,,1,,,,,,,,,,,,,61,61,,,,,,,,,,,1,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,61,,60,,1,,,,,,,,,,,,,61,61,,,,,,,,,,,1,3,1
60,61,60,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,60,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,99,1
61,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
60,61,60,33,,,,,,33,62,62,33,,,,,,33,61,61,33,,,,,,33,60,60,33,,,,,,33,,,,,,,,,,,,,30,,,,1,,,,,1,1,,,,,,,,,,,,,,,1,1,,,,,
1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,,21,,,,,,,,,,,,21,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,,,,,,,1,1,,,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,,,
,62,62,,,,,,,,,,,,,,,,,61,61,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,,21,,1,1,,60,60,,1,1,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,60,60,,1,1,,,1,1,1,1,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,60,61,1,1,,,,,1,1,62,60,,,,,1,,,
1,1,1,1,,,,,,1,1,1,1,,,,,,1,1,1,1,,,,,,1,1,1,1,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,1,,,,,61,60,1,1,1,1,1,1,1,1,60,62,,,,,1,,,
1,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,1,,,1,,,,,,,1,,,,,,,1,1,1,1,,,,,1,1,,,,,,,,,1,1,,,,,1,1,1,1
1,21,,1,,,,,,1,21,,1,,,,,,1,21,,1,,,,,,1,21,,1,,,,,,1,21,,1,,,,,,,1,,,,,,,1,,,,21,,,,,,21,,,,,,21,,,,,,21,,,,,1
1,,,1,,33,,33,,1,,,1,,33,,33,,1,,,1,,33,,33,,1,,,1,,33,,33,,1,,,1,,,30,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21,,,,,,,,21,,,,,,,21,,,,,,21,,,,,,21,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,61,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,61,,,,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,,30,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
