,,,,,,,,,,,60,60,,,,,,,60,60,,,,,,61,61,61,61,,,,,,60,60,,,,,,,60,60,,,,,,,,,,,
,,,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,,,,,,
,,,,,,,60,60,,1,1,1,1,,61,61,,1,1,1,1,,62,62,,1,1,1,1,,62,62,,1,1,1,1,,61,61,,1,1,1,1,,60,60,,3,3,3,3,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,,,,,,,,60,60,,,,,,,60,60,,,,,,,60,60,,,,,,,60,60,,,,,,,60,60,,,,,,3,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,99,,
1,1,1,1,1,1,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,1,1,1,1,1,1
,,,,,1,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,1,,,,,
,,,,,1,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,1,,,,,
,,,,,1,1,,,1,,60,60,,1,,,1,,61,61,,1,,,1,,62,62,,1,,,1,,61,61,,1,,,1,,60,60,,1,,,1,1,,,,,
,,,,,1,1,,,1,,,,,1,,,1,,,,,1,,,1,,,,,1,,,1,,,,,1,,,1,,,,,1,,,1,1,,,,,
,,,,,1,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,1,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,1,,62,62,,,,,,,61,61,,,,,,,60,60,,,,,,,60,60,,,,,,,61,61,,,,,,,62,62,,1,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,,1,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,1,,,,,
,,,,,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,1,1,1,,,,,1,,,,,
,,,,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,21,,1,,,,,1,,,,,
,,,,,1,,62,62,,1,,,1,,61,61,,1,,,1,,60,60,,1,,,1,,60,60,,1,,,1,,61,61,,1,,,1,,62,62,,1,,,,,
,,,,,1,30,,,,1,,,1,30,,,,1,,,1,30,,,,1,,,1,30,,,,1,,,1,30,,,,1,,,1,30,,,,1,,,,,
,,,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,1,1,1,1,1,,,,,
